timestamp,1153_transform_pitch,1153_transform_yaw,1153_transform_roll,1153_vel_x (m/s),1153_vel_y (m/s),1153_vel_z (m/s),1153_angular_vel_x (rad/s),1153_angular_vel_y (rad/s),1153_angular_vel_z (rad/s),1153_acc_x (m/s²),1153_acc_y (m/s²),1153_acc_z (m/s²) gravity,1154_transform_pitch,1154_transform_yaw,1154_transform_roll,1154_vel_x (m/s),1154_vel_y (m/s),1154_vel_z (m/s),1154_angular_vel_x (rad/s),1154_angular_vel_y (rad/s),1154_angular_vel_z (rad/s),1154_acc_x (m/s²),1154_acc_y (m/s²),1154_acc_z (m/s²) gravity
1576242967587,-0.07,-3.84,-0.27,6.97,-0.84,-0.0,6.39,-0.97,-11.06,-1.04,-6.67,0.0,0.61,-178.89,-0.08,-4.0,-0.11,0.0,1.0,-0.01,0.66,-4.35,1.0,-0.0
1576242967750,-0.05,-4.15,-0.19,6.96,-0.58,-0.0,-4.01,-0.17,-3.5,-0.15,5.28,-0.0,0.61,-178.85,-0.05,-4.22,-0.11,0.0,0.54,-0.03,0.74,-4.29,-0.07,-0.0
1576242967859,-0.04,-4.25,-0.08,6.98,-0.56,-0.0,-1.48,-0.08,-1.5,0.37,0.41,0.0,0.61,-178.75,-0.06,-4.43,-0.16,0.0,-0.38,-0.06,2.39,-4.21,-0.91,-0.0
1576242967976,-0.02,-4.02,0.16,6.94,-0.24,-0.0,-5.05,0.01,6.95,-0.7,6.3,0.0,0.6,-178.6,-0.08,-4.64,-0.19,0.0,-0.51,-0.07,3.04,-4.18,-0.63,-0.0
1576242968098,-0.04,-3.52,0.33,7.14,-0.11,-0.0,-2.52,0.86,11.23,3.99,2.62,-0.0,0.6,-178.49,-0.09,-4.84,-0.19,0.0,0.04,-0.06,2.18,-4.18,0.04,-0.0
1576242968217,-0.09,-3.03,0.33,7.4,-0.13,-0.0,0.45,1.19,9.16,5.09,-0.33,0.0,0.6,-178.41,-0.07,-5.05,-0.18,0.0,0.36,-0.05,1.32,-4.15,0.15,-0.0
1576242968358,-0.15,-2.52,0.34,7.61,-0.06,-0.0,-0.22,1.12,10.65,4.21,1.4,0.0,0.6,-178.35,-0.05,-5.26,-0.19,0.01,0.24,-0.06,1.22,-4.11,-0.15,0.18
1576242968469,-0.19,-2.38,0.1,7.75,-0.39,0.0,5.83,0.49,-0.77,2.78,-6.56,0.0,0.58,-178.79,0.23,-5.42,0.16,0.0,7.57,-0.15,-13.67,-3.22,6.86,-0.11
1576242968583,-0.22,-2.63,-0.15,7.85,-0.59,0.0,4.15,0.16,-6.54,2.06,-4.07,0.0,0.58,-179.14,0.29,-5.63,0.01,0.0,-1.11,-0.07,-3.74,-4.12,-2.84,-0.06
1576242968701,-0.22,-3.13,-0.32,7.9,-0.76,-0.0,2.77,-0.17,-11.25,1.12,-3.42,-0.0,0.58,-179.24,0.21,-5.83,-0.02,-0.0,-1.43,-0.03,-1.55,-4.08,-0.63,-0.03
1576242968841,-0.21,-3.53,-0.26,7.95,-0.66,-0.0,-1.78,-0.2,-6.66,0.85,1.99,0.0,0.57,-178.93,-0.04,-6.0,-0.26,-0.0,-5.44,-0.18,8.49,-3.5,-4.86,-0.01
1576242968954,-0.18,-3.55,-0.02,7.94,-0.39,0.0,-4.94,-0.31,1.93,-0.08,5.4,0.0,0.57,-178.44,-0.26,-6.2,-0.37,-0.0,-3.74,-0.12,10.15,-3.84,-2.19,-0.0
1576242969071,-0.14,-3.07,0.31,7.88,0.0,0.0,-7.33,-0.5,13.64,-1.22,7.87,-0.0,0.57,-178.08,-0.32,-6.4,-0.36,-0.0,-0.57,-0.02,6.55,-4.02,0.15,0.0
1576242969185,-0.1,-2.3,0.5,7.82,0.14,-0.0,-2.51,-0.76,15.81,-1.3,2.82,-0.0,0.56,-178.31,-0.04,-6.56,-0.02,-0.0,8.01,0.01,-10.26,-3.31,6.9,0.0
1576242969307,-0.06,-1.68,0.43,7.74,0.06,-0.0,2.03,-0.87,11.34,-1.46,-1.67,0.0,0.55,-179.32,0.49,-6.69,0.38,-0.0,10.84,-0.16,-24.22,-2.51,8.03,0.0
1576242969454,-0.02,-1.5,0.14,7.64,-0.24,0.0,5.86,-0.95,0.46,-2.02,-5.97,0.0,0.49,179.97,0.58,-6.63,0.18,-0.0,-2.58,-1.4,-7.8,1.17,-4.1,-0.0
1576242969561,0.02,-1.82,-0.19,7.51,-0.56,0.0,6.37,-1.01,-9.37,-2.71,-6.41,-0.0,0.43,-179.8,0.19,-6.64,-0.18,-0.0,-9.67,-1.05,10.53,-0.25,-7.24,0.01
1576242969677,0.06,-2.37,-0.34,7.4,-0.64,-0.0,1.85,-0.74,-11.48,-2.23,-1.65,-0.0,0.37,-178.92,-0.31,-6.53,-0.48,-0.0,-9.32,-1.59,19.68,2.23,-5.96,0.0
1576242969795,0.09,-2.78,-0.27,7.3,-0.54,-0.0,-1.88,-0.45,-7.05,-1.95,1.95,0.0,0.33,-177.96,-0.63,-6.57,-0.62,-0.0,-5.25,-0.63,19.18,-0.9,-2.82,-0.01
1576242969911,0.11,-2.8,-0.01,7.19,-0.24,0.0,-5.46,-0.24,2.21,-2.15,6.13,0.0,0.29,-177.65,-0.46,-6.5,-0.29,-0.0,7.12,-0.75,-0.94,1.42,6.67,0.0
1576242970029,0.14,-2.36,0.28,7.07,0.06,-0.0,-5.3,-0.25,11.29,-2.5,5.93,-0.0,0.25,-178.33,0.09,-6.49,0.16,0.0,12.67,-0.22,-19.78,0.23,8.89,0.01
1576242970142,0.16,-1.71,0.44,6.95,0.2,-0.0,-2.23,-0.3,13.51,-2.39,2.91,-0.0,0.2,-179.77,0.76,-6.33,0.59,-0.0,12.66,-0.99,-32.05,3.23,8.78,-0.01
